N,ansatz,H,X_h,L,order,boundary,iterations,nfev_ratio,overlap,E_a,E_t,E_a_t
4,QAOA,TFIM,-1,2,6,hypercube,10,1.8823529411764706,0.9906359533375121,-4.653055777448171,-4.653055889408941,-4.653055889417269
4,QAOA,TFIM,-1,2,6,hypercube,10,1.2941176470588236,0.09579654998380481,-4.653055868446258,-1.9999999999999916,-4.6530558893908145
4,QAOA,TFIM,-1,2,6,hypercube,10,1.5333333333333334,0.9999999742982939,-4.653055737947357,-4.6530558894129515,-4.6530558894144995
4,QAOA,TFIM,-1,2,6,hypercube,10,1.8823529411764706,0.09579952874449074,-4.653055821119988,-1.9999999999914326,-4.653055889416926
4,QAOA,TFIM,-1,2,6,hypercube,10,2.8333333333333335,0.9999999964129915,-4.653055874359928,-4.653055889409176,-4.6530558894169864
4,QAOA,TFIM,-1,2,6,hypercube,10,3.6666666666666665,0.9906511124280675,-4.653055618082919,-4.653055889407026,-4.6530558893911245
4,QAOA,TFIM,-1,2,6,hypercube,10,2.7142857142857144,0.9999999889676761,-4.653055855219446,-4.653055889416395,-4.653055889405624
4,QAOA,TFIM,-1,2,6,hypercube,10,2.4166666666666665,0.9906385085404269,-4.653055870351806,-4.653055889410903,-4.653055889305017
4,QAOA,TFIM,-1,2,6,hypercube,10,1.0588235294117647,0.09535677096726791,-4.653055788648418,-1.999999997880997,-4.653055889413404
4,QAOA,TFIM,-1,2,6,hypercube,10,3.5833333333333335,0.9999999096854228,-4.653055658988577,-4.653055889416838,-4.653055889414733
4,QAOA,TFIM,-1,2,6,hypercube,10,3.6,0.9999999975775294,-4.653055867719583,-4.653055889414962,-4.653055889064306
4,QAOA,TFIM,-1,2,6,hypercube,10,2.2,0.999999982877079,-4.65305582004439,-4.653055889409331,-4.653055889378926
4,QAOA,TFIM,-1,2,6,hypercube,10,2.6363636363636362,0.9999999981911216,-4.6530558788848015,-4.6530558893939595,-4.653055888555867
4,QAOA,TFIM,-1,2,6,hypercube,10,3.9166666666666665,0.09577508361373055,-4.653055882618502,-1.9999999999978295,-4.653055888234084
4,QAOA,TFIM,-1,2,6,hypercube,10,1.2941176470588236,0.9999999977667792,-4.653055879838749,-4.653055889417565,-4.653055889415425
4,QAOA,TFIM,-1,2,6,hypercube,10,3.4285714285714284,0.9999999986584062,-4.653055884801946,-4.653055889414221,-4.653055887658446
4,QAOA,TFIM,-1,2,6,hypercube,10,2.2142857142857144,0.9999999917628238,-4.653055832271313,-4.653055889417144,-4.653055889394425
4,QAOA,TFIM,-1,2,6,hypercube,10,1.8571428571428572,0.9906332601882079,-4.653055874793741,-4.653055889392359,-4.65305588941015
4,QAOA,TFIM,-1,2,6,hypercube,10,1.6875,0.9999999709344131,-4.653055786384363,-4.653055889413773,-4.653055889408856
4,QAOA,TFIM,-1,2,6,hypercube,10,1.8571428571428572,0.999999927277319,-4.653055634677223,-4.653055889411952,-4.653055889414835
4,QAOA,TFIM,-1,2,6,hypercube,10,2.5,0.9999999955638879,-4.653055855527583,-4.65305588941488,-4.653055888310126
4,QAOA,TFIM,-1,2,6,hypercube,10,1.7777777777777777,0.9999999696442716,-4.653055704263547,-4.653055889411528,-4.65305588941531
4,QAOA,TFIM,-1,2,6,hypercube,10,1.7142857142857142,0.9999999642984178,-4.653055765020397,-4.653055889413105,-4.653055889415183
